,cluster,cluster_size,cost,total_points,explained_variance,silhouette,geo_silhouette,health_silhouette,geo_pairwise,health_pairwise,containment_health,avg_infections
0,0,1,0.0,90,55427.43343697558,0.0,0.0,0.0,0.0,0.0,52.03511111111103,30.169421240437465
1,1,1,0.0,134,76721.66066988846,0.0,0.0,0.0,0.0,0.0,46.87925373134324,18.16469911275605
2,2,1,0.0,74,12164.548362854073,0.0,0.0,0.0,0.0,0.0,65.41729729729731,15.705689227518743
3,3,1,0.0,88,15485.254757761155,0.0,0.0,0.0,0.0,0.0,37.09829545454542,14.199095091560421
4,4,1,0.0,91,73522.12051162569,0.0,0.0,0.0,0.0,0.0,31.771318681318718,47.83914002691813
5,5,1,0.0,119,9803.20690732847,0.0,0.0,0.0,0.0,0.0,29.170000000000044,19.451235495450035
6,6,1,0.0,60,38696.35859210656,0.0,0.0,0.0,0.0,0.0,52.248333333333385,39.484154039644146
7,7,1,0.0,227,83908.55386765921,0.0,0.0,0.0,0.0,0.0,53.404757709251086,17.81850703435589
8,8,1,0.0,62,70817.55200017581,0.0,0.0,0.0,0.0,0.0,48.50112903225804,36.66398752960251
9,9,1,0.0,89,22940.019586320846,0.0,0.0,0.0,0.0,0.0,63.315955056179845,36.76352894250956
10,10,1,0.0,181,34121.332370217344,0.0,0.0,0.0,0.0,0.0,48.33099447513818,10.585840474154555
11,11,1,0.0,60,8756.498513381632,0.0,0.0,0.0,0.0,0.0,38.40183333333336,13.091163183884449
12,12,1,0.0,60,6444.292996132568,0.0,0.0,0.0,0.0,0.0,52.254000000000055,21.315853558622663
13,13,1,0.0,80,26174.140748580405,0.0,0.0,0.0,0.0,0.0,60.938749999999956,35.57481315314614
14,14,1,0.0,60,27102.799186914803,0.0,0.0,0.0,0.0,0.0,60.17216666666662,33.9801477245694
15,15,1,0.0,60,8901.427866818136,0.0,0.0,0.0,0.0,0.0,30.01783333333334,21.667539628952177
16,16,1,0.0,100,14782.259292153278,0.0,0.0,0.0,0.0,0.0,30.94999999999996,17.77434748096855
17,17,1,0.0,60,4084.455893134298,0.0,0.0,0.0,0.0,0.0,56.765333333333345,39.54659774091819
18,18,1,0.0,62,32374.360826441673,0.0,0.0,0.0,0.0,0.0,37.08161290322582,52.780557141768625
19,19,1,0.0,60,29298.268994915186,0.0,0.0,0.0,0.0,0.0,34.395500000000034,11.678390304828818
20,20,1,0.0,169,75940.54551783946,0.0,0.0,0.0,0.0,0.0,54.75094674556214,6.256735595539198
21,21,1,0.0,577,305295.98475562094,0.0,0.0,0.0,0.0,0.0,62.80242634315449,9.675665102759119
22,22,1,0.0,69,332214.4240421317,0.0,0.0,0.0,0.0,0.0,32.64043478260868,79.7359349549267
23,23,1,0.0,89,294354.97477658564,0.0,0.0,0.0,0.0,0.0,39.72573033707866,86.76856389599213
24,24,1,0.0,184,83967.95352584257,0.0,0.0,0.0,0.0,0.0,31.239565217391398,12.795661347749999
25,25,1,0.0,67,14707.764288442422,0.0,0.0,0.0,0.0,0.0,27.22985074626867,32.86658217051062
26,26,1,0.0,60,9778.622748998445,0.0,0.0,0.0,0.0,0.0,26.608000000000015,11.7084863423897
27,27,1,0.0,152,13903.597141372878,0.0,0.0,0.0,0.0,0.0,59.78361842105259,21.538559137211138
28,28,1,0.0,99,103801.30226639805,0.0,0.0,0.0,0.0,0.0,31.41020202020201,62.23003760986364
29,29,3,0.003348536608035307,298,836435.4000583426,0.8130135779692237,0.4328811199039259,0.6219409045723056,320.4477318210408,0.005095750168528873,31.49475796375644,39.263758950473225
30,30,3,0.0037140475792902155,1025,775668.5320572648,0.7651490028746282,-0.45320938916790654,0.09489162930102725,2204.4730441202773,0.009681842015519934,56.18372517098138,22.484119737287262
