date,US_AK,US_AL,US_AR,US_AZ,US_CA,US_CO,US_CT,US_DC,US_DE,US_FL,US_GA,US_HI,US_IA,US_ID,US_IL,US_IN,US_KS,US_KY,US_LA,US_MA,US_MD,US_ME,US_MI,US_MN,US_MO,US_MS,US_MT,US_NC,US_ND,US_NE,US_NH,US_NJ,US_NM,US_NV,US_NY,US_OH,US_OK,US_OR,US_PA,US_PR,US_RI,US_SC,US_SD,US_TN,US_TX,US_UT,US_VA,US_VT,US_WA,US_WI,US_WV,US_WY
2020-10-03,20.30438313512417,19.407037381954773,27.146339146509156,8.406364611704412,8.148238581032691,11.800879590451434,7.151763660017808,8.06802195292673,12.929942148850616,11.238103986430483,11.464748701476276,6.738233329431806,26.179588677092884,28.122182230972044,18.335194188539997,17.897907952860198,22.31796271334986,20.5127749878158,12.695349253267583,8.222028478825251,8.930042697832242,2.272000091077148,10.90478921158493,19.529780943917192,24.16786575392879,19.520444200455778,39.18336616955446,17.213394473287487,60.14838317898025,28.470277380501372,4.506641696566555,8.589134067135237,13.924465938470986,15.966228902458656,6.044679419281157,10.756342474978805,27.220676374818478,7.14032330776752,8.454927737230644,9.716831278149822,13.634237511311888,18.319467917368314,55.22149970787395,23.13822385744178,15.907001331123812,32.9064698709547,11.181347026748453,1.2525428237699086,7.3184708090560315,43.05845145125206,11.376308549774137,24.41665242908545
2020-10-04,20.975522278374367,19.479084572245203,27.302027515341436,8.564773189267454,8.14406971310887,12.143068985995395,7.424547830943493,8.06802195292673,13.047030229346875,11.329864521128949,11.440147488888758,6.6773562882535025,26.40439490321118,28.83260792049084,18.866133694424928,18.50390790299372,22.499933184372303,20.899907487879172,12.805623282082232,8.380740641903895,9.00646681469912,2.272000091077148,11.234120974646515,19.92803806148392,24.427892897195388,19.87221412449498,40.82014547001059,17.34397967901311,61.83645980435585,29.27504155541417,4.651678637779838,8.835297150824108,14.690364666988286,16.28515207079241,6.175076930474281,11.07832866104948,27.382184244075564,7.234710038411302,8.668319314877339,9.716831278149822,14.2570818488619,18.319467917368314,56.876837431431206,23.619708983224847,15.907001331123812,33.37052867926907,11.181347026748453,1.3058052664507258,7.42392229529428,43.841653221402986,11.55124024340779,25.284865589207605
2020-10-05,21.66649824556725,19.594571199687074,27.47257239560804,8.744701203767844,8.147239641442102,12.520950151875411,7.725433750907246,8.06802195292673,13.14544168350631,11.4436125318564,11.439035538421006,6.615603757854239,26.64837921975889,29.55745285420682,19.451871503944368,19.135146752629137,22.708579479584422,21.283055032530157,12.905642812226608,8.544645427271496,9.08751964384721,2.272000091077148,11.599161781288378,20.34098409701363,24.713020133491554,20.242224415218587,42.438642382381,17.483968018616217,63.64517037786245,30.083567016451173,4.790499402808835,9.090490435359426,15.50034007255231,16.614573353414315,6.29856031105726,11.42212377693902,27.559601933091738,7.326187828475158,8.885944771014795,9.716831278149822,14.89939344700553,18.319467917368314,58.576652999587424,24.137761459881496,15.907001331123812,33.83926973590307,11.181347026748453,1.3612332236696039,7.5271011699157535,44.65527532874834,11.744986592286834,26.19288619174204
2020-10-06,22.384865998163676,19.75444083065893,27.655258292503753,8.947644326505998,8.15845804029517,12.939639507218022,8.025834874615665,8.06802195292673,13.228977683676314,11.582157154948401,11.45891511058949,6.551855926439767,26.92055950848272,30.310991278330842,20.088857845150372,19.78685618372906,22.88172524506207,21.665577872949825,13.017742548931063,8.714594222673478,9.172572831588598,2.272000091077148,11.9883624241673,20.77383208466497,25.04200754385607,20.631145453629255,44.03984071230261,17.635428578905344,65.57607416553834,30.89662414751734,4.92439454726274,9.361725005679562,16.35164960636904,16.95189685297312,6.416087330925814,11.786163405459494,27.734984123060652,7.414365089804099,9.110814306658247,9.716831278149822,15.572674459713486,18.319467917368314,60.34801407133974,24.68506267234063,15.907001331123812,34.3200560348294,11.181347026748453,1.4188727702039483,7.629111053113371,45.52326794456466,11.961627684072038,27.152373964982413
2020-10-07,23.138705708849052,19.951587230872477,27.858280884190687,9.171224398682908,8.17893967416646,13.394759614194802,8.33569363374596,8.06802195292673,13.301529193677066,11.739752179595142,11.49716675988933,6.488209896097499,27.225653672500414,31.084990529416245,20.779918660271207,20.455866050785122,23.114979862021947,22.050027432735547,13.132323212733164,8.890325711079072,9.262067664482732,2.272000091077148,12.411069881425872,21.229136618866285,25.434794634489258,21.0307425596495,45.62330321282568,17.79398761122211,67.61760978017296,31.723880511341562,5.052525209995579,9.64936130427679,17.243271808938655,17.298859530196502,6.527113835973797,12.171472076647298,27.91710890362361,7.500521476547471,9.343278846074421,9.716831278149822,16.279381919876222,18.319467917368314,62.204888895405176,25.262825958660333,15.907001331123812,34.81711699571008,11.181347026748453,1.4778024105056486,7.733335867429874,46.43275609222742,12.198685732734601,28.171958135154863
2020-10-08,23.934845123542555,20.186600129314296,28.07716353973996,9.41718567962677,8.208552650056761,13.891237014793187,8.661616404387784,8.06802195292673,13.367256551747053,11.921344547159338,11.553746229585494,6.425215392617342,27.562157183652378,31.883703881729016,21.526187101264203,21.14924586561282,23.353962973552612,22.438106852896915,13.242139224237478,9.075582626735505,9.355975362971385,2.273246462773599,12.871562181751557,21.709748253156516,25.83655017033036,21.440665534248073,47.187308224085655,17.956605346057678,69.77905675623794,32.57100069546029,5.174332150243365,9.952873021317249,18.172156294357624,17.660929948254555,6.634260859591183,12.577319059520596,28.105085743947438,7.583412297784052,9.583693870988048,9.716831278149822,17.022755870865776,18.319467917368314,64.1133927727429,25.861276015757962,15.907001331123812,35.32976431898554,11.181347026748453,1.5383907427939478,7.835295760862654,47.39228622244403,12.45668933262733,29.245320875915255
2020-10-09,24.7800311864365,20.462616884192993,28.30623913955808,9.68018766987431,8.248340121687086,14.429697790390753,9.010069875574164,8.06802195292673,13.430619401034011,12.124763436319974,11.62898821123668,6.362098727850537,27.94087106817076,32.71206126680472,22.331818829491258,21.86482979877393,23.664189193618583,22.833926029692588,13.345046807977573,9.275018098706912,9.452761017282556,2.2862957234881227,13.366519810100954,22.22254154652576,26.245435210923436,21.8402426288951,48.72633550334213,18.11928552247046,72.07524713653628,33.43683667679948,5.2887399049984385,10.274933172805646,19.134860884037515,18.039978680238626,6.737688274547703,13.002574357715714,28.295083116413764,7.6642193106244365,9.832412584394865,9.716831278149822,17.808088383523124,18.319467917368314,66.07857164965978,26.47770319821764,15.907001331123812,35.8575814022908,11.241239456430215,1.5993937480788978,7.938813027738403,48.397700738311535,12.736365300985343,30.385919671021018
2020-10-10,25.676001134658247,20.781731033410928,28.55319174684386,9.964804389136509,8.29987431355935,15.012435862100395,9.364907866936738,8.154126325384185,13.486020739735078,12.346642560782682,11.721340953070726,6.301404928602199,28.37288425582444,33.577699245257286,23.19021612549468,22.600465120605048,23.984430193805665,23.237116716417784,13.432897072640408,9.493205175031859,9.55403628267685,2.3085882105421005,13.894828420857188,22.761664816208288,26.66694250773506,22.21799732105245,50.240357722660754,18.28329683977927,74.49313632957711,34.319031986943955,5.396974502089531,10.616989908224244,20.113265166303577,18.435156333265407,6.838015037805061,13.445779020372,28.4825435985234,7.742774691573631,10.090583465713246,9.716831278149822,18.63983451748481,18.319467917368314,68.1337755553893,27.117290989121337,15.907001331123812,36.39615769450077,11.380833249562897,1.6603506785864421,8.04511818534539,49.45398171785997,13.025886339164476,31.57716380576356
2020-10-11,26.624492205335166,21.144107701084334,28.810475040888605,10.26550061066167,8.365496326409492,15.64316666367097,9.738003778288375,8.247757579273289,13.537321601179505,12.583484944756579,11.827050930747488,6.243663360447795,28.863471882382857,34.46083364739494,24.10462812907049,23.35116955007994,24.355894827663583,23.64729093886569,13.5250539722907,9.73534069279012,9.659681244328329,2.3399716825605297,14.462286139499087,23.3255967285303,27.091376704539396,22.567946210129197,51.719236218394606,18.44728828931351,77.02732395054501,35.19708837179512,5.507940775220084,10.980676382936306,21.105718014841038,18.844401459438306,6.93641599421237,13.906980758447029,28.669712225990228,7.8202951609703515,10.355672568289945,9.716831278149822,19.51731926371499,18.319467917368314,70.26821084319559,27.757213198288387,15.907001331123812,36.947702999464575,11.514519237015476,1.7225977028613417,8.155014915287513,50.61086950420645,13.33144691223674,32.8333839594113
2020-10-12,27.630473704668773,21.56127608890085,29.08680615356703,10.578406647484165,8.443973410330143,16.32601617401696,10.149981992695023,8.341131014198035,13.586706911204764,12.838356976533511,11.945883030362099,6.187204485803167,29.41620023681691,35.35310292267206,25.071794137647597,24.12341437596363,24.80511772409331,24.075377733167322,13.59522604104492,10.00232661721695,9.772132571500055,2.380815868596989,15.098198197592275,23.919321857986123,27.52199205198622,22.912021761167686,53.17040418868915,18.61009618713422,79.66457525355422,36.08532590864515,5.622520604056382,11.366276485276455,22.116053400923175,19.266616528627203,7.0356280482495945,14.387894655310555,28.86417721952719,7.89865474784205,10.621967118510144,9.716831278149822,20.433927533662445,18.319467917368314,72.46700700906169,28.382742559890353,15.907001331123812,37.51214486459698,11.643780377564134,1.7868259425646797,8.268749321022431,51.91907471398958,13.64878522823259,34.163568909283136
